name,location,foundYear,Industry,description,website,logoPath,accountID,
"1199SEIU Funds
3.2",New York  NY,,Insurance Carriers,,https://www.1199seiubenefits.org/,,1,1199seiubenefits
"22nd Century Technologies
3.7",New York  NY,1997,IT Services,,https://www.tscti.com/,,2,tscti
"451 Research
3.3",New York  NY,2000,Research & Development,,https://451research.com/,,3,451research
AB InBev,New York  NY,,,,https://www.ab-inbev.com/,,4,ab-inbev
"Advisor Group
3.4",Jersey City  NJ,2016,Brokerage Services,,https://www.advisorgroup.com/,,5,advisorgroup
"Amazon
3.9",New York  NY,1994,Internet,,https://www.amazon.com/,,6,amazon
"Amenity Analytics
3.8",New York  NY,2015,Enterprise Software & Network Solutions,,https://www.amenityanalytics.com/,,7,amenityanalytics
"Andiamo
3.5",New York  NY,,Casual Restaurants,,https://andiamoitalia.com/,,8,andiamoitalia
"APCO Worldwide
3.4",New York  NY,1984,Consulting,,https://apcoworldwide.com/,,9,apcoworldwide
"Apex Systems
3.8",Jersey City  NJ,1995,Staffing & Outsourcing,,https://www.apexsystems.com/,,10,apexsystems
APR Staffing,New York  NY,,,,http://www.aprconsulting.com/,,11,aprconsulting
"Asembia
3.6",Florham Park  NJ,2004,Biotech & Pharmaceuticals,,https://www.asembia.com/,,12,asembia
"Asset Staffing
3.4",Newark  NJ,,Staffing & Outsourcing,,https://www.assetstaffing.com/,,13,assetstaffing
"Averity
5.0",New York  NY,2014,Staffing & Outsourcing,,https://www.averityteam.com/,,14,averityteam
"Axelon Services Corporation
3.6",New York  NY,,Staffing & Outsourcing,,https://www.axelon.com/,,15,axelon
"Balance Innovations
3.1",New York  NY,,Computer Hardware & Software,,https://www.balanceinnovations.com/,,16,balanceinnovations
"Bank of America
3.7",New York  NY,1904,Banks & Credit Unions,,https://www.bankofamerica.com/,,17,bankofamerica
"Bloomberg
3.8",New York  NY,1981,Computer Hardware & Software,,https://www.bloomberg.com/,,18,bloomberg
"BlueLabs
4.7",New York  NY,,Research & Development,,https://bluelabs.com/,,19,bluelabs
"BlueVoyant
4.2",New York  NY,,,,https://www.bluevoyant.com/,,20,bluevoyant
"Bounce Exchange
4.1",New York  NY,2012,Advertising & Marketing,,https://www.wunderkind.co/,,21,underkind
"Brooklyn Community Services
2.5",Brooklyn  NY,1886,Social Assistance,,https://wearebcs.org/,,22,earebcs
BulbHead,Fairfield  NJ,,,,https://www.bulbhead.com/,,23,bulbhead
"Cactus Holdings
3.9",Queens Village  NY,2002,Research & Development,,https://www.cactusholdings.com/,,24,cactusholdings
Capgemini America  Inc.,Jersey City  NJ,,,,https://www.capgemini.com/us-en/,,25,capgemini
"Capgemini
3.8",Jersey City  NJ,1967,Enterprise Software & Network Solutions,,https://www.capgemini.com/us-en/,,26,capgemini
Carry1st,New York  NY,,,,https://www.carry1st.com/,,27,carry1st
"Celerity
4.1",New York  NY,2002,IT Services,,https://www.celerity.com/,,28,celerity
"Child Mind Institute
3.2",New York  NY,2009,Health Care Services & Hospitals,,https://childmind.org/,,29,childmind
"Citadel
3.8",New York  NY,1990,,,https://www.citadel.com/,,30,citadel
"Citi
3.7",New York  NY,1812,Investment Banking & Asset Management,,https://online.citi.com/US/login.do,,31,citi
Clear Street,New York  NY,2018,,,https://clearstreet.io/,,32,clearstreet
"CodeGreen Solutions
3.6",New York  NY,,Building & Personnel Services,,https://codegreensolutions.com/,,33,codegreensolutions
"Columbia University Medical Center
3.8",New York  NY,,Health Care Services & Hospitals,,https://www.cuimc.columbia.edu/,,34,cuimc.columbia
"Columbia University
3.9",New York  NY,1938,Colleges & Universities,,https://www.columbia.edu/,,35,columbia
CompuForce,New York  NY,,,,http://www.cforce.net/,,36,cforce
"COOLSOFT
3.2",Newark  NJ,,Health  Beauty  & Fitness,,http://www.coolsofttech.com/,,37,coolsofttech
"Cortex consultants LLC
3.8",New York  NY,,Consulting,,https://www.cortexconsultants.com/,,38,cortexconsultants
"COUNCIL ON ACCREDITATION
3.8",New York  NY,1977,Social Assistance,,https://coanet.org/,,39,coanet
Cowen Group  Inc.,New York  NY,,,,https://www.cowen.com/,,40,cowen
"Cowen
3.7",New York  NY,1918,Investment Banking & Asset Management,,https://www.cowen.com/,,41,cowen
"Criteo
3.9",New York  NY,2005,Internet,,https://www.criteo.com/,,42,criteo
"Cross River Bank
3.3",Fort Lee  NJ,2008,Banks & Credit Unions,,https://www.crossriver.com/,,43,crossriver
"Crossfire Consulting Corporation
5.0",New York  NY,,Consulting,,"www.crossfireconsulting.com
",,44,crossfireconsulting
"Cuny Research Foundation
4.2",New York  NY,1963,Colleges & Universities,,"www.rfcuny.org
",,45,rfcuny
"Current
3.6",New York  NY,,,,"current.com
",,46,current
"Dash Technologies Inc
3.8",New York  NY,,,,"dashtechinc.com
",,47,dashtechinc
"Decision Resources Group
3.1",New York  NY,1990,IT Services,,"decisionresourcesgroup.com
",,48,decisionresourcesgroup
"Discovery Communications  Inc.
3.5",New York  NY,1985,TV Broadcast & Cable Networks,,https://corporate.discovery.com/,,49,discovery
"Diverse Lynx
3.9",New York  NY,2002,IT Services,,www.diverselynx.com,,50,diverselynx
"DMGT
4.0",New York  NY,1896,Venture Capital & Private Equity,,https://www.dmgt.com/,,51,dmgt
"Duolingo
5.0",New York  NY,2011,Internet,,"www.duolingo.com
",,52,duolingo
"EDO  Inc.
5.0",New York  NY,,Internet,,"www.edo.com
",,53,edo
"EDP World  Inc.
3.5",New York  NY,1968,Staffing & Outsourcing,,www.edpworld.com,,54,edpworld
"Education Development Center  Inc.
3.9",New York  NY,1958,Research & Development,,"www.edc.org
",,55,edc
"ektello
4.6",New York  NY,2011,Staffing & Outsourcing,,"www.ektello.com
",,56,ektello
"Endai
3.7",New York  NY,,Advertising & Marketing,,"www.endai.com
",,57,endai
"eTeam Inc.
3.7",New York  NY,1999,Staffing & Outsourcing,,"www.eteaminc.com
",,58,eteaminc
"Fair Health
2.3",New York  NY,,,,"www.fairhealth.org
",,59,fairhealth
"FanDuel
3.9",New York  NY,2009,Sports & Recreation,,"www.fanduel.com
",,60,fanduel
"FINRA
3.4",New York  NY,2007,Brokerage Services,,"www.finra.org
",,61,finra
Fintech Recruiters,New York  NY,,,,"fintechrecruiters.com
",,62,fintechrecruiters
"FJA-US Inc.
2.8",New York  NY,1994,Computer Hardware & Software,,"www.fja.com
",,63,fja
"Fragomen Worldwide
3.2",New York  NY,1951,Legal,,"www.fragomen.com
",,64,fragomen
"Fund for Public Health
3.0",Long Island City  NY,,Social Assistance,,https://fphnyc.org/,,65,fphnyc
Gainful Health,New York  NY,,Food & Beverage Stores,,"www.gainful.com
",,66,gainful
"Gemini
3.6",New York  NY,2015,Brokerage Services,,"gemini.com
",,67,gemini
"Global Atlantic Financial Group
4.5",New York  NY,2004,Insurance Carriers,,"www.globalatlantic.com
",,68,globalatlantic
"GNY Insurance Companies
3.7",New York  NY,1914,Insurance Carriers,,"www.gny.com
",,69,gny
"Google
4.4",New York  NY,1998,Internet,,www.google.com,,70,google
Greater New York Mutual Insurance Companies (GNY),New York  NY,,,,"www.gny.com
",,71,gny
"Green Key Resources
4.5",New York  NY,2004,Staffing & Outsourcing,,"www.greenkeyllc.com
",,72,greenkeyllc
"Guidepoint
3.3",New York  NY,2003,Research & Development,,"www.guidepoint.com
",,73,guidepoint
"Hagerty Consulting
3.2",New York  NY,,Consulting,,"hagertyconsulting.com
",,74,hagertyconsulting
"Halcyon Solutions  Inc.
3.3",New York  NY,1992,IT Services,,"www.halcyonit.com
",,75,halcyonit
"Hearst Communications
4.0",New York  NY,,Advertising & Marketing,,"www.hearst.com
",,76,hearst
"Hearst Television  Inc
4.3",New York  NY,,TV Broadcast & Cable Networks,,www.hearst.com,,77,hearst
"Highbridge Consulting LLC
3.0",New York  NY,,,,"highbridgeconsultants.com
",,78,highbridgeconsultants
"HOMETEAM
3.6",New York  NY,2013,Health Care Services & Hospitals,,"www.hometeam.com
",,79,hometeam
"Huxley
3.3",New York  NY,1995,Staffing & Outsourcing,,www.huxley.com,,80,huxley
Hyde Leadership Brooklyn,Brooklyn  NY,,,,"www.hydebrooklyn.org
",,81,hydebrooklyn
"IBM
3.7",New York  NY,1911,IT Services,,https://www.ibm.com/us-en/,,82,ibm
"ICAP at Columbia University
4.1",New York  NY,2003,Health Care Services & Hospitals,,https://icap.columbia.edu/,,83,icap.columbia.edu
impakt Advisors,New York  NY,,Consulting,,https://www.impaktadvisors.com/,,84,impaktadvisors
"Jefferies
3.6",New York  NY,1962,Investment Banking & Asset Management,,https://www.jefferies.com/,,85,jefferies
"Jordan & Jordan
4.9",New York  NY,1990,Brokerage Services,,https://www.jandj.com/,,86,jandj
"JPMorgan Chase
3.9",New York  NY,1799,Investment Banking & Asset Management,,https://www.jpmorganchase.com/,,87,jpmorganchase
"Kforce
4.1",New York  NY,1966,Staffing & Outsourcing,,https://www.kforce.com/,,88,kforce
"Known
3.0",New York  NY,2004,Advertising & Marketing,,https://www.beknown.nyc/,,89,beknown.nyc
"Lorven Technologies Inc
4.0",New York  NY,,Accounting,,https://www.lorventech.com/,,90,lorventech
"Macquarie Group
3.3",New York  NY,1969,Investment Banking & Asset Management,,https://www.macquarie.com/,,91,macquarie
"MediaMath
3.6",New York  NY,2007,Advertising & Marketing,,https://www.mediamath.com/,,92,mediamath
"Medly Pharmacy
4.7",Brooklyn  NY,2017,Health Care Services & Hospitals,,https://medly.com/en-us,,93,medly
"Metropolitan Council on Jewish Poverty
3.2",New York  NY,,Social Assistance,,https://www.metcouncil.org/,,94,metcouncil
"Mitchell Martin
4.1",New York  NY,1984,Staffing & Outsourcing,,https://www.mitchellmartin.com/,,95,mitchellmartin
Monkey Algorithms LLC,New York  NY,,,,https://www.monkeyalgorithms.com/,,96,monkeyalgorithms
"Montefiore Medical
3.7",New York  NY,1884,Health Care Services & Hospitals,,https://www.montefiore.org/,,97,montefiore
"Morgan Stanley
3.8",New York  NY,1935,Investment Banking & Asset Management,,https://www.morganstanley.com/,,98,morganstanley
"Mount Sinai Health System
3.4",New York  NY,2013,Health Care Services & Hospitals,,https://www.mountsinai.org/,,99,mountsinai
"Mulberry Technology
5.0",New York  NY,,,,https://getmulberry.com/careers,,100,getmulberry
MUSIC & Entertainment,New York  NY,,,,https://www.sonymusic.com/,,101,sonymusic
"My Job Tank
3.6",Jersey City  NJ,,IT Services,,https://myjobtank.com/,,102,myjobtank
NADAP NYS INC.,New York  NY,,,,https://www.nadap.org/,,103,nadap
"NALLAS CORPORATION
3.6",Jersey City  NJ,,Enterprise Software & Network Solutions,,https://nallas.com/,,104,nallas
"Narrativ
3.7",New York  NY,2015,Internet,,https://narrativ.com/,,105,narrativ
"NBCUniversal
3.8",New York  NY,1906,TV Broadcast & Cable Networks,,https://www.nbcuniversal.com/,,106,nbcuniversal
"Nesco Resource  LLC
2.9",New York  NY,1956,Staffing & Outsourcing,,https://nescoresource.com/,,107,nescoresource
"Neuberger Berman
3.7",New York  NY,1939,Investment Banking & Asset Management,,https://www.nb.com/en/global/home,,108,nb
"New York Life Insurance Co
3.5",New York  NY,1845,Insurance Agencies & Brokerages,,https://www.newyorklife.com/,,109,newyorklife
"Northwell Health
4.0",Manhasset  NY,1997,Health Care Services & Hospitals,,https://www.northwell.edu/,,110,northwell
"NTT DATA  Inc.
2.9",New York  NY,,Accounting,,https://www.nttdata.com/global/en/,,111,nttdata
"Nutech Information Systems
3.6",New York  NY,,Computer Hardware & Software,,https://www.nutechsoft.com/,,112,nutechsoft
"Nutrafol
3.8",New York  NY,,Health  Beauty  & Fitness,,https://nutrafol.com/,,113,nutrafol
"NYSTEC
3.8",New York  NY,1996,Consulting,,https://www.nystec.com/,,114,nystec
"NYU Langone Health
4.0",New York  NY,1841,Health Care Services & Hospitals,,https://med.nyu.edu/,,115,med.nyu.edu
NYU Langone Medical Center,New York  NY,,,,https://med.nyu.edu/,,116,med.nyu.edu
"Peloton Interactive
3.8",New York  NY,2012,Health  Beauty  & Fitness,,https://www.onepeloton.com/,,117,onepeloton
"Perficient
3.6",New York  NY,1998,IT Services,,https://www.perficient.com/,,118,perficient
"Phyton Talent Advisors
4.1",Jersey City  NJ,,,,https://phytontalent.com/,,119,phytontalent
Pinto,New York  NY,,,,"www.pintonyc.com
",,120,pintonyc
"Point72
3.9",New York  NY,2014,Investment Banking & Asset Management,,https://www.point72.com/,,121,point72
"Pozent
3.5",New York  NY,,,,www.pozent.com ,,122,pozent
"Praescient Analytics
3.1",New York  NY,2011,Consulting,,http://praescientanalytics.com/,,123,praescientanalytics
"Precision technologies corp
4.2",New York  NY,2008,IT Services,,https://precisiontechcorp.com/,,124,precisiontechcorp
"Premier  Inc.
3.0",New York  NY,1967,Health Care Services & Hospitals,,https://www.premierinc.com/,,125,premierinc
"Randstad
3.7",Jersey City  NJ,,Staffing & Outsourcing,,https://www.randstadusa.com/,,126,randstadusa
"Real Capital Analytics
3.9",New York  NY,2000,Real Estate,,https://www.realpage.com/,,127,realpage
"Reliable Software Resources
4.0",New York  NY,2004,IT Services,,https://www.rsrit.com/,,128,rsrit
"Revel
3.6",Brooklyn  NY,2005,Consulting,,https://www.pearsonhighered.com/,,129,pearsonhighered
"RGP
4.1",New York  NY,1996,Consulting,,https://rgp.com/,,130,rgp
"Riskified
4.4",New York  NY,2013,Research & Development,,https://seon.io/,,131,seon.io
"Ro
4.8",New York  NY,2017,Health Care Services & Hospitals,,https://ro.co/,,132,ro
"Robert Half
3.5",New York  NY,1948,Staffing & Outsourcing,,https://www.roberthalf.com/,,133,roberthalf
"Rockstar Games
4.1",New York  NY,1998,Video Games,,https://www.rockstargames.com/,,134,rockstargames
"Roku
3.9",New York  NY,2002,IT Services,,https://www.roku.com/,,135,roku
"Roman
3.2",New York  NY,,,,https://www.getroman.com/,,136,getroman
"Royal Communications
3.0",New York  NY,,IT Services,,https://www.royal.uk/press-releases,,137,royal
"Scotiabank
3.6",New York  NY,1832,Investment Banking & Asset Management,,https://www.scotiabank.com/,,138,scotiabank
SGA Inc.,New York  NY,1996,Architectural & Engineering Services,,"www.sgainc.com
",,139,sgainc
"SoFi
3.2",New York  NY,2011,Lending,,https://www.sofi.com/,,140,sofi
"Softcom Systems
4.4",Weehawken  NJ,,IT Services,,http://softcomsystems.com/,,141,softcomsystems
"SoftStandard Solutions
4.8",New York  NY,,,,https://softstandard.com/,,142,softstandard
"Software Guidance & Assistance
3.7",Jersey City  NJ,1981,Staffing & Outsourcing,,https://www.sgainc.com/,,143,sgainc
"Sphinix Network Solutions Inc.
1.0",New York  NY,,IT Services,,"sphinixusa.com
",,144,sphinixusa
"Squarespace
3.4",New York  NY,2003,Internet,,https://www.squarespace.com/,,145,squarespace
"Staffigo Technical Services  LLC
5.0",New York  NY,2008,IT Services,,https://www.staffigo.com/,,146,staffigo
Stark HR Consulting LLC,New York  NY,,,,"www.starkhrrecruiting.com
",,147,starkhrrecruiting
"Tachyon Technologies
4.4",New York  NY,2011,IT Services,,"www.tachyontech.com
",,148,tachyontech
"Take-Two Interactive Software  Inc.
3.7",New York  NY,1993,Video Games,,https://www.take2games.com/,,149,take2games
TapRm,Brooklyn  NY,,,,taprm.com,,150,taprm
"Teachers Pay Teachers
4.9",New York  NY,2006,Internet,,https://www.teacherspayteachers.com/,,151,teacherspayteachers
Teus Health,Newark  NJ,,,,https://www.telus.com/en/health,,152,telus
"The Trevor Project
4.6",New York  NY,,Social Assistance,,https://www.thetrevorproject.org/,,153,thetrevorproject
"TSR Consulting
3.6",New York  NY,1969,Staffing & Outsourcing,,https://www.tsrconsulting.com/,,154,tsrconsulting
"TSR  Inc.
3.6",Weehawken  NJ,1969,Staffing & Outsourcing,,https://www.tsrconsulting.com/,,155,tsrconsulting
"Two Sigma
4.4",New York  NY,2001,Investment Banking & Asset Management,,https://www.twosigma.com/,,156,twosigma
"Two95 International Inc.
4.0",New York  NY,,Staffing & Outsourcing,,https://www.two95intl.com/,,157,two95intl
"UBS
3.6",New York  NY,1862,Investment Banking & Asset Management,,https://www.ubs.com/,,158,ubs
"Undertone
3.8",New York  NY,2001,Advertising & Marketing,,https://www.undertone.com/,,159,undertone
"United Nations
4.1",New York  NY,1945,Federal Agencies,,https://www.un.org/en/,,160,un
"Vera Institute of Justice
3.2",New York  NY,1961,Social Assistance,,"www.vera.org
",,161,vera
"Vericred
2.9",New York  NY,2015,Internet,,https://vericred.com/,,162,vericred
Vertex Intel Systems,Jersey City  NJ,,,,http://www.vertexintel.com/,,163,vertexintel
Vesta Healthcare,New York  NY,2018,Health Care Services & Hospitals,,https://vestahealthcare.com/,,164,vestahealthcare
"Vettery
3.0",New York  NY,2013,Internet,,https://www.vettery.com/,,165,vettery
"Visiting Nurse Service of New York
3.8",New York  NY,1893,Health Care Services & Hospitals,,https://www.vnsny.org/,,166,vnsny
"Voice
3.4",Brooklyn  NY,,,,https://www.voice.com/,,167,voice
"Walt Disney Co.
4.0",New York  NY,1923,Motion Picture Production & Distribution,,https://thewaltdisneycompany.com/,,168,thewaltdisneycompany
"Whip Media Group
5.0",New York  NY,2016,,,https://www.whipmedia.com/,,169,hipmedia
"Wildlife Conservation Society
3.4",New York  NY,1895,Social Assistance,,https://www.wcs.org/,,170,cs
"William Hill US
2.7",Jersey City  NJ,1934,Gambling,,https://www.williamhill.com/us,,171,illiamhill
"Workforce Logiq
3.6",Haworth  NJ,1999,Consulting,,https://www.workforcelogiq.com/,,172,orkforcelogiq
"Xoriant Corporation
3.7",Jersey City  NJ,1990,IT Services,,https://www.xoriant.com/,,173,xoriant
"ZDAAS
4.4",Brooklyn  NY,,,,http://zd-techsolutions.com/,,174,zd-techsolutions
