institution,Degree,major,activity,fromYear,toYear,description,profileID,grade
Arizona State University,Master,Election Engineer,,2001,2005,,80,3.82
Arizona State University,Phd,Economics,,2001,2005,,173,3.07
Australian National University,Bachelor,Computer Science,,2006,2010,,196,3.67
Boston University,Bachelor,Finance,,2002,2006,,62,3.2
Boston University,Bachelor,Computer Science,,2005,2009,,154,3.17
Brown University,Master,Marketing,,2005,2009,,66,3.48
Brown University,Master,Information System,,2005,2009,,177,3.72
California Institute of Technology,Bachelor,Marketing,,2005,2009,,5,3.65
California Institute of Technology,Bachelor,Information System,,2002,2006,,111,3.88
Carnegie Mellon University,Bachelor,Finance,,2001,2005,,43,3.6
Carnegie Mellon University,Phd,Economics,,2004,2008,,151,3.84
Case Western Reserve University,Bachelor,Information System,,2002,2006,,78,3.55
Columbia University,Master,Election Engineer,,2002,2006,,9,3.8
Columbia University,Master,Marketing,,2003,2007,,106,3.53
Cornell University,Master,Marketing,,2001,2005,,12,3.78
Cornell University,Bachelor,Computer Science,,2006,2010,,113,3.74
Dartmouth College,Master,Information System,,2002,2006,,58,3.7
Dartmouth College,Bachelor,Computer Science,,2005,2009,,182,3.56
Duke University,Master,Information System,,2004,2008,,27,3.46
Duke University,Phd,Finance,,2004,2008,,125,3.06
??cole normale sup??rieure - Paris,Phd,Information System,,2004,2008,,54,3.22
??cole normale sup??rieure - Paris,Phd,Computer Science,,2006,2010,,164,3.37
??cole Polytechnique,Master,Finance,,2006,2010,,61,3.14
??cole Polytechnique,Phd,Computer Science,,2005,2009,,186,3.24
Emory University,Master,Election Engineer,,2001,2005,,81,3.78
Emory University,Bachelor,Economics,,2005,2009,,193,3.42
Georgia Institute of Technology,Bachelor,Finance,,2006,2010,,87,3.97
Georgia Institute of Technology,Bachelor,Economics,,2002,2006,,200,3.49
Harvard University,Bachelor,Election Engineer,,2005,2009,,1,3.48
Harvard University,Bachelor,Computer Science,,2006,2010,,101,3.38
Hebrew University of Jerusalem,Phd,Finance,,2006,2010,,22,3.58
Hebrew University of Jerusalem,Bachelor,Election Engineer,,2004,2008,,121,3.61
Imperial College London,Phd,Information System,,2005,2009,,28,3.79
Imperial College London,Master,Finance,,2002,2006,,127,3.14
Indiana University - Bloomington,Phd,Computer Science,,2005,2009,,185,3.36
Johns Hopkins University,Master,Information System,,2005,2009,,15,3.13
Johns Hopkins University,Phd,Marketing,,2006,2010,,117,3.29
Karolinska Institute,Master,Marketing,,2003,2007,,70,3.95
Karolinska Institute,Bachelor,Information System,,2006,2010,,160,3.4
Keio University,Bachelor,Information System,,2006,2010,,170,3.42
King's College London,Master,Marketing,,2001,2005,,175,3.45
Kyoto University,Master,Information System,,2002,2006,,17,3.88
Kyoto University,Master,Computer Science,,2004,2008,,115,3.23
Leiden University,Bachelor,Election Engineer,,2002,2006,,85,3.65
Lomonosov Moscow State University,Bachelor,Economics,,2003,2007,,190,3.87
Ludwig Maximilian University of Munich,Bachelor,Finance,,2005,2009,,83,3.8
Ludwig Maximilian University of Munich,Phd,Computer Science,,2001,2005,,167,3.63
Massachusetts Institute of Technology,Master,Finance,,2001,2005,,2,3.2
Massachusetts Institute of Technology,Master,Marketing,,2003,2007,,104,3.78
McGill University,Master,Finance,,2003,2007,,41,3.68
McGill University,Master,Computer Science,,2006,2010,,147,3.49
Mines ParisTech,Bachelor,Computer Science,,2006,2010,,100,3.63
Nagoya University,Bachelor,Marketing,,2001,2005,,74,4
Nagoya University,Phd,Marketing,,2005,2009,,191,3.98
National University of Singapore,Bachelor,Computer Science,,2005,2009,,187,3.95
New York University,Bachelor,Finance,,2006,2010,,23,3.81
New York University,Bachelor,Computer Science,,2006,2010,,119,3.31
Northwestern University,Master,Computer Science,,2001,2005,,33,3.6
Northwestern University,Phd,Election Engineer,,2003,2007,,128,3.32
