title,companyName,location,fromDate,toDate,,employmentType,profileID
Software Engineer,Top Prospect Group  Inc.,New York  NY,2017-7-19,2019-8-29,,Internship,1
Software Engineer,"JPMorgan Chase
3.9",Brooklyn  NY,2013-3-22,2015-1-8,,Fulltime,2
Software Engineer,"Mitchell Martin
4.1",Jersey City  NJ,2014-6-24,2016-12-21,,Internship,3
Software Engineer,"VNA Health Group
3.3",Essex Fells  NJ,2014-2-7,2016-1-10,,Internship,4
Software Engineer,"Rockstar Games
4.1",New York  NY,2017-12-8,2019-9-22,,Internship,5
Software Engineer,"RMS Computer
3.0",Jersey City  NJ,2012-8-1,2015-4-9,,Fulltime,6
Software Engineer,"Hexacorp
3.4",New York  NY,2010-12-26,2012-9-25,,Fulltime,7
Software Engineer,"TechProjects
4.8",New York  NY,2015-4-9,2017-7-3,,Internship,8
Software Engineer,"Informa
3.2",New York  NY,2012-7-13,2014-5-25,,Internship,9
Software Engineer,"Columbia University Medical Center
3.8",New York  NY,2012-1-25,2014-12-23,,Internship,10
Software Engineer,"Momentum Solar
3.7",South Plainfield  NJ,2017-4-16,2019-8-5,,Internship,11
Data Analyst,"VIVA USA INC
4.6",Franklin Lakes  NJ,2015-8-10,2017-6-20,,Internship,12
Data Analyst,"ProHEALTH Medical Management
2.7",Lake Success  NY,2014-5-26,2016-8-8,,Fulltime,13
Data Analyst,"Reliable Software Resources
4.0",New York  NY,2011-12-21,2013-2-21,,Internship,14
Data Analyst,Maisonette Careers,Brooklyn  NY,2010-4-7,2012-6-29,,Fulltime,15
Data Analyst,"Donnelly & Moore Corporation
3.5",New York  NY,2015-5-22,2018-9-24,,Internship,16
Data Analyst,"J.P. Morgan
3.9",Newark  NJ,2016-4-7,2018-7-13,,Internship,17
Data Analyst,"Saratoga Medical Center
4.1",New York  NY,2017-1-13,2019-11-21,,Internship,18
Data Analyst,"YAI/NIPD Network
3.1",New York  NY,2010-12-3,2012-3-8,,Fulltime,19
Data Analyst,"Mount Sinai Medical Center
3.1",New York  NY,2015-7-8,2017-7-10,,Fulltime,20
Data Analyst,"Diverse Lynx
3.9",New York  NY,2016-9-23,2018-11-27,,Internship,21
Data Analyst,"Quad Consultancy
4.3",Mount Vernon  NY,2010-1-18,2012-10-6,,Parttime,22
Data Analyst,"Competent Systems  Inc
3.7",Jersey City  NJ,2016-6-28,2018-8-13,,Internship,23
Data Analyst,"1199SEIU Funds
3.2",New York  NY,2017-4-17,2019-10-8,,Fulltime,24
Data Analyst,"Peloton Interactive
3.8",New York  NY,2016-4-1,2018-2-17,,Internship,25
Data Analyst,"Genpact
3.5",New York  NY,2016-12-17,2018-12-13,,Internship,26
